Instrument,EXPIR_DATE,PUT_CALL,STRIKE_PRC,CF_BID,CF_ASK,IMP_VOLT,DELTA,GAMMA,RHO,THETA,VEGA
/NDXd1725A2500.U,2025-04-17,5,12500,6239.3,6430.5,179.4069,0.9974,0.0,0.8951,-5.1824,0.1278
/NDXp1725A2500.U,2025-04-17,6,12500,0.0,0.05,129.175,0.0,0.0,0.0,-0.0794,0.0024
/NDXd1725A2600.U,2025-04-17,5,12600,6138.3,6330.5,172.0583,0.9978,0.0,0.9029,-4.3389,0.1283
/NDXp1725A2600.U,2025-04-17,6,12600,0.0,0.05,127.3543,0.0,0.0,0.0,-0.0794,0.0024
/NDXd1725A2700.U,2025-04-17,5,12700,6032.0,6230.6,151.9341,0.9992,0.0,0.912,-2.0899,0.0552
/NDXp1725A2700.U,2025-04-17,6,12700,0.0,0.05,125.0159,0.0,0.0,0.0,-0.0793,0.0024
/NDXd1725A2800.U,2025-04-17,5,12800,5939.5,6130.7,170.6785,0.9971,0.0,0.9163,-5.3596,0.1294
/NDXp1725A2800.U,2025-04-17,6,12800,0.0,0.05,122.6961,0.0,0.0,0.0,-0.0792,0.0024
/NDXd1725A2900.U,2025-04-17,5,12900,5837.2,6030.7,158.4454,0.9983,0.0,0.9251,-3.4805,0.1298
/NDXp1725A2900.U,2025-04-17,6,12900,0.0,0.05,120.3945,0.0,0.0,0.0,-0.0792,0.0024
/NDXd1725A3000.U,2025-04-17,5,13000,5732.0,5930.8,144.3701,0.9991,0.0,0.9334,-2.2224,0.0558
/NDXp1725A3000.U,2025-04-17,6,13000,0.0,0.05,118.111,0.0,0.0,0.0,-0.0791,0.0024
/NDXd1725A3100.U,2025-04-17,5,13100,5641.3,5830.8,167.8856,0.9961,0.0,0.9365,-6.7314,0.1309
/NDXp1725A3100.U,2025-04-17,6,13100,0.0,0.55,134.0798,-0.0005,0.0,-0.0006,-0.6693,0.0218
/NDXd1725A3200.U,2025-04-17,5,13200,5539.9,5730.9,159.6122,0.9967,0.0,0.9445,-5.6488,0.1314
/NDXp1725A3200.U,2025-04-17,6,13200,0.0,0.55,131.4877,-0.0005,0.0,-0.0007,-0.6684,0.0219
/NDXd1725A3300.U,2025-04-17,5,13300,5439.9,5631.0,156.7094,0.9966,0.0,0.9516,-5.6813,0.1319
/NDXp1725A3300.U,2025-04-17,6,13300,0.0,0.55,128.9154,-0.0005,0.0,-0.0007,-0.6675,0.0219
/NDXd1725A3400.U,2025-04-17,5,13400,5340.6,5531.0,156.0949,0.9963,0.0,0.9582,-6.1916,0.1324
/NDXp1725A3400.U,2025-04-17,6,13400,0.0,0.55,126.3626,-0.0005,0.0,-0.0007,-0.6666,0.022
/NDXd1725A3500.U,2025-04-17,5,13500,5232.8,5431.1,128.6316,0.9991,0.0,0.9695,-2.0624,0.0569
/NDXp1725A3500.U,2025-04-17,6,13500,0.0,0.55,123.829,-0.0005,0.0,-0.0007,-0.6657,0.0221
/NDXd1725A3600.U,2025-04-17,5,13600,5132.9,5331.2,127.131,0.999,0.0,0.9765,-2.2018,0.0571
/NDXp1725A3600.U,2025-04-17,6,13600,0.0,0.05,104.1022,0.0,0.0,0.0,-0.0783,0.0078
/NDXd1725A3700.U,2025-04-17,5,13700,5040.8,5231.2,147.6168,0.9959,0.0,0.9793,-6.3463,0.2845
/NDXp1725A3700.U,2025-04-17,6,13700,0.0,0.55,118.8185,-0.0005,0.0,-0.0007,-0.6639,0.0223
/NDXd1725A3800.U,2025-04-17,5,13800,4934.0,5131.3,122.4243,0.9989,0.0,0.9908,-2.2901,0.0575
/NDXp1725A3800.U,2025-04-17,6,13800,0.0,0.55,116.3409,-0.0005,0.0,-0.0007,-0.663,0.0223
/NDXd1725A3900.U,2025-04-17,5,13900,4842.7,5031.4,144.7478,0.9947,0.0,0.992,-7.6161,0.2866
/NDXp1725A3900.U,2025-04-17,6,13900,0.0,0.55,113.8815,-0.0005,0.0,-0.0008,-0.6621,0.0224
/NDXd1725A4000.U,2025-04-17,5,14000,4740.4,4931.4,137.5043,0.9959,0.0,1.0009,-6.0513,0.2875
/NDXp1725A4000.U,2025-04-17,6,14000,0.0,0.55,111.44,-0.0006,0.0,-0.0008,-0.6612,0.0225
/NDXd1725A4100.U,2025-04-17,5,14100,4634.0,4831.5,116.3528,0.9987,0.0,1.012,-2.5178,0.0581
/NDXp1725A4100.U,2025-04-17,6,14100,0.0,0.6,109.8289,-0.0006,0.0,-0.0009,-0.7128,0.0581
/NDXd1725A4200.U,2025-04-17,5,14200,4534.0,4731.6,114.0724,0.9986,0.0,1.0191,-2.5619,0.0583
/NDXp1725A4200.U,2025-04-17,6,14200,0.0,0.6,107.2547,-0.0006,0.0,-0.0009,-0.7098,0.0583
/NDXd1725A4300.U,2025-04-17,5,14300,4434.0,4631.7,111.8084,0.9986,0.0,1.0262,-2.6061,0.0585
/NDXp1725A4300.U,2025-04-17,6,14300,0.0,0.2,96.983,-0.0002,0.0,-0.0003,-0.2656,0.0227
/NDXd1725A4400.U,2025-04-17,5,14400,4334.0,4531.7,110.4118,0.9984,0.0,1.0332,-2.7454,0.0587
/NDXp1725A4400.U,2025-04-17,6,14400,0.0,0.6,102.1606,-0.0007,0.0,-0.0009,-0.7038,0.0587
/NDXd1725A4500.U,2025-04-17,5,14500,4234.0,4431.7,108.1768,0.9984,0.0,1.0403,-2.7896,0.0589
/NDXp1725A4500.U,2025-04-17,6,14500,0.0,0.6,99.6402,-0.0007,0.0,-0.0009,-0.7008,0.0589
/NDXd1725A4600.U,2025-04-17,5,14600,4140.9,4331.9,120.303,0.9949,0.0,1.0427,-6.38,0.2936
/NDXp1725A4600.U,2025-04-17,6,14600,0.0,0.6,97.1373,-0.0007,0.0,-0.001,-0.6978,0.0591
/NDXd1725A4700.U,2025-04-17,5,14700,4034.0,4231.9,103.4557,0.9982,0.0,1.0545,-2.8682,0.1384
/NDXp1725A4700.U,2025-04-17,6,14700,0.0,0.55,94.2295,-0.0007,0.0,-0.0009,-0.6472,0.0592
/NDXd1725A4800.U,2025-04-17,5,14800,3934.0,4132.0,100.9027,0.9981,0.0,1.0616,-2.9005,0.1389
/NDXp1725A4800.U,2025-04-17,6,14800,0.0,0.3,89.8704,-0.0004,0.0,-0.0005,-0.3746,0.0232
/NDXd1725A4900.U,2025-04-17,5,14900,3834.0,4032.1,98.7258,0.998,0.0,1.0686,-3.0125,0.1393
/NDXp1725A4900.U,2025-04-17,6,14900,0.0,0.65,90.1499,-0.0008,0.0,-0.0011,-0.7364,0.0596
/NDXd1725A5000.U,2025-04-17,5,15000,3734.0,3932.2,96.2061,0.9979,0.0,1.0756,-3.0448,0.1398
/NDXp1725A5000.U,2025-04-17,6,15000,0.0,0.65,87.7131,-0.0008,0.0,-0.0011,-0.7334,0.0598
/NDXd1725A5025.U,2025-04-17,5,15025,3708.6,3907.2,92.3168,0.9985,0.0,1.0782,-2.5214,0.0599
/NDXp1725A5025.U,2025-04-17,6,15025,0.0,0.65,87.1065,-0.0008,0.0,-0.0011,-0.7327,0.0599
