;;;EXPIRE DATE;PUT/CALL;STRIKE PRICE;CF BID;CF ASK;IMPLIED VOLTLTY;DELTA;GAMMA;RHO;THETA;VEGA;Time to maturity;;;;;EXPIRE DATE;PUT/CALL;STRiIKE PRICE;CF BID;CF ASK;IMPiLIED VOLTLTY;DELTA;GAMMA;RHO;THETA;VEGA
;;/NDXd1725A2500.U;17/04/2025;C-EU;12500;6279.1;6423.8;178.619;0.988;0;0.8814;-220.012;0.5268;2;;;;/NDXp1725A2500.U;17/04/2025;P-EU;12500;0;0.1;1.212.037;0;0;-0.0001;-0.1465;0.0075
;;/NDXd1725A2600.U;17/04/2025;C-EU;12600;6179.2;6323.8;1.822.106;0.9877;0;0.8882;-220.229;0.529;2;;;;/NDXp1725A2600.U;17/04/2025;P-EU;12600;0;0.5;1.249.096;-0.0004;0;-0.0006;-0.6736;0.0214
;;/NDXd1725A2700.U;17/04/2025;C-EU;12700;6079.3;6223.9;1.789.566;0.9931;0;0.9033;-122.099;0.2737;2;;;;/NDXp1725A2700.U;17/04/2025;P-EU;12700;0;0.5;1.226.158;-0.0004;0;-0.0006;-0.6727;0.0214
;;/NDXd1725A2800.U;17/04/2025;C-EU;12800;5986.3;6130.5;1.762.065;0.9835;0;0.8963;-291.388;0.5332;2;;;;/NDXp1725A2800.U;17/04/2025;P-EU;12800;0;0.5;1.213.313;-0.0004;0;-0.0006;-0.6718;0.0215
;;/NDXd1725A2900.U;17/04/2025;C-EU;12900;5879.4;6024;1.726.052;0.987;0;0.9088;-219.811;0.5354;2;;;;/NDXp1725A2900.U;17/04/2025;P-EU;12900;0;0.5;119.07;-0.0004;0;-0.0006;-0.6709;0.0216
;;/NDXd1725A3000.U;17/04/2025;C-EU;13000;5786.4;5930.6;1.695.064;0.9829;0;0.9099;-290.759;0.5375;2;;;;/NDXp1725A3000.U;17/04/2025;P-EU;13000;0;0.5;1.168.263;-0.0005;0;-0.0006;-0.6701;0.0217
;;/NDXd1725A3100.U;17/04/2025;C-EU;13100;5686;5826.7;1.669.042;0.9831;0;0.9175;-279.806;0.5396;2;;;;/NDXp1725A3100.U;17/04/2025;P-EU;13100;0;0.5;1.146.001;-0.0005;0;-0.0006;-0.6692;0.0218
;;/NDXd1725A3200.U;17/04/2025;C-EU;13200;5579.6;5724.2;1.633.024;0.9822;0;0.9234;-290.657;0.5417;2;;;;/NDXp1725A3200.U;17/04/2025;P-EU;13200;0;0.5;1.123.911;-0.0004;0;-0.0006;-0.6133;0.0219
;;/NDXd1725A3300.U;17/04/2025;C-EU;13300;5486.1;5630.8;1.571.499;0.9851;0;0.9349;-233.425;0.5439;2;;;;/NDXp1725A3300.U;17/04/2025;P-EU;13300;0;0.5;1.101.991;-0.0004;0;-0.0006;-0.6124;0.022
;;/NDXd1725A3400.U;17/04/2025;C-EU;13400;5386.2;5527.8;1.541.575;0.9852;0;0.9423;-22.672;0.546;2;;;;/NDXp1725A3400.U;17/04/2025;P-EU;13400;0;0.5;1.080.237;-0.0004;0;-0.0006;-0.6119;0.0221
